symbol,action,side,score,abs_score,score_bucket,signal_time,entry_time,exit_time,entry_time_bucket,holding_bars,holding_bucket,outcome,pnl_points,r_multiple,blockers,relative_volume,rvol_bucket,adx14,adx_bucket,distance_from_vwap_pct,vwap_distance_bucket,comp_ema_trend,comp_market_structure,comp_ema_alignment,comp_vwap,comp_rsi,comp_macd,comp_adx,comp_rvol,comp_orb,comp_candlestick
ADANIENT,BUY,LONG,49.0,49.0,40-49,2026-07-13 05:09:00+00:00,2026-07-13 05:10:00+00:00,2026-07-13 05:22:00+00:00,10:00-11:00,13,11-15,STOP,-5.17886275428009,-1.019689447192806,(),0.9755025279046479,0.7-1.0,25.06041905033674,25-30,0.5703187802921993,0% to 1.0%,True,True,False,True,True,False,True,False,True,False
ADANIENT,BUY,LONG,50.0,50.0,50-59,2026-07-13 05:55:00+00:00,2026-07-13 05:56:00+00:00,2026-07-13 05:57:00+00:00,11:00-12:00,2,1-5,STOP,-4.933971102648229,-1.020686925485575,(),1.2918831341705523,1.0-1.5,34.215462921359766,30+,0.6544256161668627,0% to 1.0%,True,False,False,True,True,False,True,False,True,True
ADANIENT,SELL,SHORT,-45.0,45.0,40-49,2026-07-13 09:06:00+00:00,2026-07-13 09:07:00+00:00,2026-07-13 09:16:00+00:00,14:00-15:30,10,6-10,STOP,-6.859010817168837,-1.0147950643525963,(),1.381311122549249,1.0-1.5,39.0432140341307,30+,0.02758789535859112,0% to 1.0%,True,True,True,False,True,True,True,False,False,False
ADANIENT,BUY,LONG,40.0,40.0,40-49,2026-07-13 09:28:00+00:00,2026-07-13 09:29:00+00:00,2026-07-13 09:30:00+00:00,14:00-15:30,2,1-5,STOP,-5.282825390938342,-1.0192944952717773,(),1.6325404851652898,1.5-2.0,24.63892074264426,20-25,0.13711169796018668,0% to 1.0%,True,True,False,True,False,False,False,True,True,False
ADANIENT,BUY,LONG,40.0,40.0,40-49,2026-07-13 09:50:00+00:00,2026-07-13 09:51:00+00:00,2026-07-14 03:45:00+00:00,14:00-15:30,10,6-10,STOP_GAP,-7.199999999999818,-1.1627940360511475,(),2.0820752572968413,2.0+,18.794801803970696,15-20,0.1273936969054256,0% to 1.0%,True,True,False,True,False,False,False,True,True,False
ADANIENT,SELL,SHORT,-41.0,41.0,40-49,2026-07-14 04:10:00+00:00,2026-07-14 04:11:00+00:00,2026-07-14 04:40:00+00:00,09:15-10:00,30,26-30,TIMEOUT,3.5,0.3379746287311312,(),1.9453785794354428,1.5-2.0,16.153475567376926,15-20,-0.08807604046701685,-1.0% to 0%,True,False,True,True,True,False,False,True,False,False
ADANIENT,BUY,LONG,52.0,52.0,50-59,2026-07-14 05:14:00+00:00,2026-07-14 05:15:00+00:00,2026-07-14 05:36:00+00:00,10:00-11:00,22,21-25,TARGET,12.83124180261484,1.460170672243082,(),0.7182592242194891,0.7-1.0,22.833376870111465,20-25,0.38659707144436795,0% to 1.0%,True,False,True,True,True,False,False,False,True,True
ADANIENT,BUY,LONG,42.0,42.0,40-49,2026-07-14 06:00:00+00:00,2026-07-14 06:01:00+00:00,2026-07-14 06:02:00+00:00,11:00-12:00,2,1-5,STOP,-8.140609791082625,-1.0124368676752369,(),0.9500598218637835,0.7-1.0,28.631021843423067,25-30,0.7750371308543108,0% to 1.0%,True,False,False,True,True,False,True,False,True,False
ADANIENT,BUY,LONG,44.0,44.0,40-49,2026-07-14 07:58:00+00:00,2026-07-14 07:59:00+00:00,2026-07-14 08:03:00+00:00,13:00-14:00,5,1-5,STOP,-4.46251255881316,-1.0229225701133826,(),0.8624602814344077,0.7-1.0,20.416528744245564,20-25,0.2621416267911634,0% to 1.0%,True,False,True,True,True,False,False,False,True,False
ADANIENT,BUY,LONG,59.0,59.0,50-59,2026-07-14 08:34:00+00:00,2026-07-14 08:35:00+00:00,2026-07-14 08:44:00+00:00,14:00-15:30,10,6-10,STOP,-4.2885486410009435,-1.02387461829165,(),2.318652849740933,2.0+,15.491088957598826,15-20,0.2745699042208023,0% to 1.0%,True,False,True,True,True,False,False,True,True,True
