symbol,action,side,score,abs_score,score_bucket,signal_time,entry_time,exit_time,entry_time_bucket,holding_bars,holding_bucket,outcome,pnl_points,r_multiple,blockers,comp_ema_trend,comp_market_structure,comp_ema_alignment,comp_vwap,comp_rsi,comp_macd,comp_adx,comp_rvol,comp_orb,comp_candlestick
ADANIENT,BUY,LONG,41.0,41.0,40-49,2026-07-13 04:54:00+00:00,2026-07-13 04:55:00+00:00,2026-07-13 05:24:00+00:00,10:00-11:00,30,26-30,TIMEOUT,-5.0,-0.5093996123588374,(),True,True,False,True,True,False,False,False,True,False
ADANIENT,BUY,LONG,65.0,65.0,60-69,2026-07-13 05:55:00+00:00,2026-07-13 05:56:00+00:00,2026-07-13 05:57:00+00:00,11:00-12:00,2,1-5,STOP,-4.933971102648229,-1.020686925485575,(),True,True,False,True,True,False,True,False,True,True
ADANIENT,SELL,SHORT,-45.0,45.0,40-49,2026-07-13 09:06:00+00:00,2026-07-13 09:07:00+00:00,2026-07-13 09:16:00+00:00,14:00-15:30,10,6-10,STOP,-6.859010817168837,-1.0147950643525963,(),True,True,True,False,True,True,True,False,False,False
ADANIENT,BUY,LONG,40.0,40.0,40-49,2026-07-13 09:28:00+00:00,2026-07-13 09:29:00+00:00,2026-07-13 09:30:00+00:00,14:00-15:30,2,1-5,STOP,-5.282825390938342,-1.0192944952717773,(),True,True,False,True,False,False,False,True,True,False
ADANIENT,BUY,LONG,40.0,40.0,40-49,2026-07-13 09:50:00+00:00,2026-07-13 09:51:00+00:00,2026-07-14 03:45:00+00:00,14:00-15:30,10,6-10,STOP_GAP,-7.199999999999818,-1.1627940360511475,(),True,True,False,True,False,False,False,True,True,False
ADANIENT,SELL,SHORT,-56.0,56.0,50-59,2026-07-14 04:10:00+00:00,2026-07-14 04:11:00+00:00,2026-07-14 04:40:00+00:00,09:15-10:00,30,26-30,TIMEOUT,3.5,0.3379746287311312,(),True,True,True,True,True,False,False,True,False,False
ADANIENT,BUY,LONG,67.0,67.0,60-69,2026-07-14 05:14:00+00:00,2026-07-14 05:15:00+00:00,2026-07-14 05:36:00+00:00,10:00-11:00,22,21-25,TARGET,12.83124180261484,1.460170672243082,(),True,True,True,True,True,False,False,False,True,True
ADANIENT,BUY,LONG,57.0,57.0,50-59,2026-07-14 06:00:00+00:00,2026-07-14 06:01:00+00:00,2026-07-14 06:02:00+00:00,11:00-12:00,2,1-5,STOP,-8.140609791082625,-1.0124368676752369,(),True,True,False,True,True,False,True,False,True,False
ADANIENT,BUY,LONG,48.0,48.0,40-49,2026-07-14 07:56:00+00:00,2026-07-14 07:57:00+00:00,2026-07-14 08:03:00+00:00,13:00-14:00,7,6-10,STOP,-3.2565234409908044,-1.031680423690602,(),True,True,False,True,True,False,False,True,True,False
ADANIENT,BUY,LONG,74.0,74.0,70+,2026-07-14 08:34:00+00:00,2026-07-14 08:35:00+00:00,2026-07-14 08:44:00+00:00,14:00-15:30,10,6-10,STOP,-4.2885486410009435,-1.02387461829165,(),True,True,True,True,True,False,False,True,True,True
ADANIENT,SELL,SHORT,-47.0,47.0,40-49,2026-07-14 09:09:00+00:00,2026-07-14 09:10:00+00:00,2026-07-14 09:16:00+00:00,14:00-15:30,7,6-10,STOP,-9.568506616424202,-1.010561327572655,(),True,True,False,True,True,False,True,False,False,False
ADANIENT,BUY,LONG,49.0,49.0,40-49,2026-07-14 09:37:00+00:00,2026-07-14 09:38:00+00:00,2026-07-14 09:58:00+00:00,14:00-15:30,21,21-25,STOP,-9.114726033925763,-1.0110929605207712,(),True,True,False,True,True,False,True,False,True,False
ADANIENT,SELL,SHORT,-70.0,70.0,70+,2026-07-15 03:45:00+00:00,2026-07-15 03:46:00+00:00,2026-07-15 03:58:00+00:00,09:15-10:00,13,11-15,STOP,-6.46125688848133,-1.0157201637589865,(),True,True,True,True,True,True,False,True,False,False
ADANIENT,BUY,LONG,57.0,57.0,50-59,2026-07-15 04:23:00+00:00,2026-07-15 04:24:00+00:00,2026-07-15 04:32:00+00:00,09:15-10:00,9,6-10,STOP,-8.00354727986678,-1.0126525465666087,(),True,True,True,True,True,False,True,False,False,False
ADANIENT,SELL,SHORT,-57.0,57.0,50-59,2026-07-15 05:09:00+00:00,2026-07-15 05:10:00+00:00,2026-07-15 05:21:00+00:00,10:00-11:00,12,11-15,STOP,-2.2146713303768593,-1.047288672505946,(),True,True,True,True,True,False,True,False,False,False
ADANIENT,SELL,SHORT,-57.0,57.0,50-59,2026-07-15 06:41:00+00:00,2026-07-15 06:42:00+00:00,2026-07-15 06:44:00+00:00,12:00-13:00,3,1-5,STOP,-2.622620880539216,-1.0396413114516558,(),True,True,False,True,True,False,True,False,True,False
ADANIENT,SELL,SHORT,-82.0,82.0,70+,2026-07-15 06:45:00+00:00,2026-07-15 06:46:00+00:00,2026-07-15 06:51:00+00:00,12:00-13:00,6,6-10,STOP,-3.9324194338059897,-1.026093177358877,(),True,True,True,True,True,False,True,True,True,True
ADANIENT,SELL,SHORT,-48.0,48.0,40-49,2026-07-15 06:52:00+00:00,2026-07-15 06:53:00+00:00,2026-07-15 07:20:00+00:00,12:00-13:00,28,26-30,TARGET,5.877010248231727,1.3610470007756041,(),True,True,False,True,False,False,True,True,True,False
ADANIENT,SELL,SHORT,-65.0,65.0,60-69,2026-07-15 07:47:00+00:00,2026-07-15 07:48:00+00:00,2026-07-15 08:15:00+00:00,13:00-14:00,28,26-30,TARGET,9.151482545387353,1.4837863824242252,(),True,True,False,True,True,False,True,False,True,True
ADANIENT,SELL,SHORT,-63.0,63.0,60-69,2026-07-15 08:18:00+00:00,2026-07-15 08:19:00+00:00,2026-07-15 08:19:00+00:00,13:00-14:00,1,1-5,STOP,-5.238011542746335,-1.0194627822783084,(),True,True,False,True,True,True,True,False,True,False
ADANIENT,SELL,SHORT,-78.0,78.0,70+,2026-07-15 09:36:00+00:00,2026-07-15 09:37:00+00:00,2026-07-15 09:54:00+00:00,14:00-15:30,18,16-20,STOP,-8.305076509435821,-1.01218757678675,(),True,True,False,True,True,True,True,True,True,False
ADANIENT,SELL,SHORT,-44.0,44.0,40-49,2026-07-16 04:10:00+00:00,2026-07-16 04:11:00+00:00,2026-07-16 04:27:00+00:00,09:15-10:00,17,16-20,STOP,-10.03490742122176,-1.0100655190592214,(),True,True,False,True,False,True,False,True,False,False
ADANIENT,BUY,LONG,49.0,49.0,40-49,2026-07-16 05:14:00+00:00,2026-07-16 05:15:00+00:00,2026-07-16 05:32:00+00:00,10:00-11:00,18,16-20,TARGET,11.09783303543145,1.310991372047283,(),True,True,True,True,True,False,False,False,False,False
ADANIENT,BUY,LONG,73.0,73.0,70+,2026-07-16 05:34:00+00:00,2026-07-16 05:35:00+00:00,2026-07-16 05:49:00+00:00,11:00-12:00,15,11-15,STOP,-10.032598019379293,-1.01006785936618,(),True,True,True,True,True,True,True,False,True,False
ADANIENT,BUY,LONG,55.0,55.0,50-59,2026-07-16 06:15:00+00:00,2026-07-16 06:16:00+00:00,2026-07-16 06:23:00+00:00,11:00-12:00,8,6-10,STOP,-5.293895757415157,-1.0192533706239946,(),True,True,False,True,False,True,False,False,True,False
ADANIENT,SELL,SHORT,-47.0,47.0,40-49,2026-07-16 06:44:00+00:00,2026-07-16 06:45:00+00:00,2026-07-16 06:53:00+00:00,12:00-13:00,9,6-10,TARGET,5.38527313587565,1.4726540508951482,(),True,True,False,True,True,False,True,False,False,False
ADANIENT,SELL,SHORT,-46.0,46.0,40-49,2026-07-16 06:54:00+00:00,2026-07-16 06:55:00+00:00,2026-07-16 06:58:00+00:00,12:00-13:00,4,1-5,STOP,-2.9564994409502106,-1.035007883623685,(),True,True,False,True,True,False,True,True,False,False
ADANIENT,SELL,SHORT,-49.0,49.0,40-49,2026-07-16 07:03:00+00:00,2026-07-16 07:04:00+00:00,2026-07-16 07:15:00+00:00,12:00-13:00,12,11-15,TARGET,8.279918315070972,1.226058995375067,(),True,True,True,True,True,False,True,False,False,False
ADANIENT,SELL,SHORT,-56.0,56.0,50-59,2026-07-16 07:26:00+00:00,2026-07-16 07:27:00+00:00,2026-07-16 07:35:00+00:00,12:00-13:00,9,6-10,STOP,-4.398792383114596,-1.0232623469774211,(),True,True,True,True,True,False,False,True,False,False
ADANIENT,BUY,LONG,70.0,70.0,70+,2026-07-17 05:03:00+00:00,2026-07-17 05:04:00+00:00,2026-07-17 05:17:00+00:00,10:00-11:00,14,11-15,STOP,-7.57474388137598,-1.0133783848098217,(),True,True,False,True,True,True,False,True,True,False
ADANIENT,SELL,SHORT,-47.0,47.0,40-49,2026-07-17 05:45:00+00:00,2026-07-17 05:46:00+00:00,2026-07-17 06:07:00+00:00,11:00-12:00,22,21-25,TARGET,8.463950804242813,1.400705551095937,(),True,True,False,True,True,False,True,False,False,False
ADANIENT,BUY,LONG,47.0,47.0,40-49,2026-07-17 06:47:00+00:00,2026-07-17 06:48:00+00:00,2026-07-17 07:02:00+00:00,12:00-13:00,15,11-15,STOP,-4.784956084467012,-1.0213449172621825,(),True,True,False,True,True,False,True,False,False,False
